Borough,All_2012_13,Violence_2012_13,Sexual_2012_13,Robbery_2012_13,Burglary_2012_13,theft_2012_13,Fraud_2012_13,damage_2012_13,drug_2012_13,other_2012_13
Barking and Dagenham,"17,240",3761,258,667,2540,6242,695,1673,1140,264
Barnet,"25,364",4077,300,1073,4806,10458,1444,1974,938,294
Bexley,"12,335",2842,178,242,1683,4406,432,1545,801,206
Brent,"27,260",6193,379,1454,3706,8193,1174,2079,3653,429
Bromley,"20,248",4100,239,590,3293,8018,564,2161,1028,255
Camden,"32,840",5030,331,1064,2928,17767,1296,1780,2178,466
Croydon,"31,109",6521,474,2032,4122,11103,1058,2927,2393,479
Ealing,"30,003",6939,375,1185,3926,11306,1081,2463,2271,457
Enfield,"22,521",4340,306,1083,3742,8572,872,2071,1215,320
Greenwich,"21,110",5290,331,550,2268,8148,731,2195,1247,350
Hackney,"27,804",5699,377,1232,2554,13064,690,1811,2017,360
Hammersmith and Fulham,"21,782",4269,262,696,1715,10534,761,1373,1809,363
Haringey,"23,377",4701,360,1049,3150,9687,820,2019,1311,280
Harrow,"13,463",2873,202,644,2491,4489,594,1266,685,219
Havering,"16,458",3317,183,401,2755,6454,433,1531,1137,247
Hillingdon,"20,636",4870,276,788,3093,7471,613,2181,1016,328
Hounslow,"22,509",5217,326,679,2962,8713,699,2057,1533,323
Islington,"27,865",5394,293,1163,2322,13942,775,1801,1761,414
Kensington and Chelsea,"20,839",2698,205,639,1752,12065,868,1004,1402,206
Kingston upon Thames,"10,198",2212,163,217,1381,4333,306,1048,426,112
Lambeth,"34,912",6827,490,2622,3751,15292,953,2443,2114,420
Lewisham,"24,727",5765,418,1334,3382,8760,807,2320,1596,345
Merton,"13,376",2541,180,544,1996,5445,446,1268,793,163
Newham,"31,716",6458,390,2260,3026,13452,1536,2280,1849,465
Redbridge,"22,419",4124,254,1003,3339,9028,911,1591,1897,272
Richmond upon Thames,"11,803",2052,154,207,2161,4920,364,1194,592,159
Southwark,"32,747",6502,425,2583,3211,13774,983,2354,2413,502
Sutton,"11,188",2569,209,297,1518,4385,265,1257,511,177
Tower Hamlets,"29,082",6115,386,1438,2805,11154,942,2190,3251,801
Waltham Forest,"24,478",4982,271,1270,2927,10323,966,1917,1509,313
Wandsworth,"25,445",4115,331,1255,3368,12055,926,1907,1182,306
Westminster,"62,014",7036,486,2475,4007,38401,2063,2177,4634,735
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,